[INFO] 2018-03-29 09:08:04,796 PyPPSPP starting
[INFO] 2018-03-29 09:08:04,797 PPSPP Parameters:
        Tracker: 127.0.0.1;
        Running on Port: 2013;
        Filename: ./resource/factory-I-720p_files/factory-I-720p.seg4-L1.svc;
        Filesize: 221542B;
        Swarm: 8956c05e80fe809009cd72564faa51f2b731be75;
        Logger: ./resource/factory-I-720p_files/logs/factory-I-720p.seg4-L1.svcSeederPeer.log;
        Live: False;
        Live Source: False;
        Alto: False;
        Num peers: None;
        Identifier: None;
        Skip: False;
        DiscardWnd: 1000;
        Buffer Sz: 500;
        Dl Fwd: 0;
        VOD: False;
    
[INFO] 2018-03-29 09:08:04,799 File found. Checking integrity
[INFO] 2018-03-29 09:08:04,801 File integrity checking passed. Starting to share the file
[INFO] 2018-03-29 09:08:04,801 File integrity valid. Seeding the file!
[INFO] 2018-03-29 09:08:04,801 Created Swarm with ID: 8956c05e80fe809009cd72564faa51f2b731be75; Our UUID: b4622795-e6e7-4a65-b362-0ccc90fd1193
[INFO] 2018-03-29 09:08:07,804 # Have/Missing 217/0; Down ch/s: 0; Speed up/down: 0/0 Bps; Members Known/Valid: 0/0
[INFO] 2018-03-29 09:08:10,808 # Have/Missing 217/0; Down ch/s: 0; Speed up/down: 0/0 Bps; Members Known/Valid: 0/0
[INFO] 2018-03-29 09:08:13,810 # Have/Missing 217/0; Down ch/s: 0; Speed up/down: 0/0 Bps; Members Known/Valid: 0/0
[INFO] 2018-03-29 09:08:16,813 # Have/Missing 217/0; Down ch/s: 0; Speed up/down: 0/0 Bps; Members Known/Valid: 0/0
[INFO] 2018-03-29 09:08:19,817 # Have/Missing 217/0; Down ch/s: 0; Speed up/down: 0/0 Bps; Members Known/Valid: 0/0
[INFO] 2018-03-29 09:08:22,820 # Have/Missing 217/0; Down ch/s: 0; Speed up/down: 0/0 Bps; Members Known/Valid: 0/0
[INFO] 2018-03-29 09:08:25,822 # Have/Missing 217/0; Down ch/s: 0; Speed up/down: 0/0 Bps; Members Known/Valid: 0/0
[INFO] 2018-03-29 09:08:28,825 # Have/Missing 217/0; Down ch/s: 0; Speed up/down: 0/0 Bps; Members Known/Valid: 0/0
[INFO] 2018-03-29 09:08:31,826 # Have/Missing 217/0; Down ch/s: 0; Speed up/down: 0/0 Bps; Members Known/Valid: 0/0
[INFO] 2018-03-29 09:08:34,829 # Have/Missing 217/0; Down ch/s: 0; Speed up/down: 0/0 Bps; Members Known/Valid: 0/0
[INFO] 2018-03-29 09:08:37,833 # Have/Missing 217/0; Down ch/s: 0; Speed up/down: 0/0 Bps; Members Known/Valid: 0/0
[INFO] 2018-03-29 09:08:40,834 # Have/Missing 217/0; Down ch/s: 0; Speed up/down: 0/0 Bps; Members Known/Valid: 0/0
[INFO] 2018-03-29 09:08:43,837 # Have/Missing 217/0; Down ch/s: 0; Speed up/down: 0/0 Bps; Members Known/Valid: 0/0
[INFO] 2018-03-29 09:08:46,841 # Have/Missing 217/0; Down ch/s: 0; Speed up/down: 0/0 Bps; Members Known/Valid: 0/0
[INFO] 2018-03-29 09:08:49,844 # Have/Missing 217/0; Down ch/s: 0; Speed up/down: 0/0 Bps; Members Known/Valid: 0/0
[INFO] 2018-03-29 09:08:52,846 # Have/Missing 217/0; Down ch/s: 0; Speed up/down: 0/0 Bps; Members Known/Valid: 0/0
[INFO] 2018-03-29 09:08:55,848 # Have/Missing 217/0; Down ch/s: 0; Speed up/down: 0/0 Bps; Members Known/Valid: 0/0
[INFO] 2018-03-29 09:08:58,850 # Have/Missing 217/0; Down ch/s: 0; Speed up/down: 0/0 Bps; Members Known/Valid: 0/0
[INFO] 2018-03-29 09:09:01,853 # Have/Missing 217/0; Down ch/s: 0; Speed up/down: 0/0 Bps; Members Known/Valid: 0/0
[INFO] 2018-03-29 09:09:04,857 # Have/Missing 217/0; Down ch/s: 0; Speed up/down: 0/0 Bps; Members Known/Valid: 0/0
[INFO] 2018-03-29 09:09:07,858 # Have/Missing 217/0; Down ch/s: 0; Speed up/down: 0/0 Bps; Members Known/Valid: 0/0
[INFO] 2018-03-29 09:09:10,861 # Have/Missing 217/0; Down ch/s: 0; Speed up/down: 0/0 Bps; Members Known/Valid: 0/0
